County,PrecinctName,HILLARY CLINTON,DONALD TRUMP,GARY JOHNSON,JILL STEIN,EVAN MCMULLIN,DARRELL CASTLE,TOM HOEFLING,LAURENCE KOTLIKOFF,JAMES ANDERSON,Phillip Seeberg,MARSHALL SCHOENKE,KEVIN MCKEE,JOSEPH MALDONADO,JOANN BREIVOGEL,LAIO MORRIS,DAVID STACK,Matthew Roberts,JONATHAN LEE,BEN HARTNELL,AUTHOR BRUMFIELD,DUFF SMITH,ROY TYREE,CHERUNDA FOX,TIMOTHY MELUCH,Nathan Johnson,JAMES STRUCK,MARK HARPER,DEM WYSINGER,DAVID FORMHALS,JIM BROWN,SHEILA BOLAR,EDWARD LEARNER,JAMES MITCHELL,MARY VANN,ROBERT LANIER,Scott Bradley,SUSANA SANDOVAL,Total
McHenry,ALG 56,232,174,31,14,4,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,455
McHenry,ALG 57,471,387,44,5,4,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,911
McHenry,ALG 58,327,383,20,6,2,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,738
McHenry,ALG 59,452,364,43,15,3,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,877
McHenry,ALG 60,149,158,16,3,1,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,327
McHenry,ALG 61,188,194,29,11,2,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,424
McHenry,ALG 62,334,381,28,9,2,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,754
McHenry,ALG 63,437,389,34,13,2,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,875
McHenry,ALG 64,210,221,25,13,3,0,0,0,,,0,,,,0,1,,0,,,,,,,,,,0,,,,,,,,,,473
McHenry,ALG 65,401,447,53,16,8,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,925
McHenry,ALG 66,247,232,22,5,1,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,507
McHenry,ALG 67,284,343,32,3,1,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,663
McHenry,ALG 68,402,461,58,9,2,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,932
McHenry,BUR 1,217,400,33,6,0,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,656
McHenry,BUR 2,291,526,41,9,3,1,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,871
McHenry,BUR 3,270,569,41,8,2,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,890
McHenry,CHE 1,238,245,37,11,1,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,532
McHenry,CHE 2,309,317,40,9,0,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,675
McHenry,CHE 3,203,229,19,12,1,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,464
McHenry,CHE 4,126,119,15,8,0,0,0,0,,,0,,,,0,0,,0,,,,,,,,,,0,,,,,,,,,,268
